成龙演唱的歌	F->DL->Music->Filter
令我无法呼吸	O
咱当兵的人	F->DL->Music->Filter
王源唱刚好遇见你	F->DL->Music->Filter
那你是我的缘	O
我想要听带你去旅行	F->DL->Music->Filter
播放大耳朵给我放一首父亲	F->DL->Music->Filter
我要听一封家书	F->DL->Music->Filter
勇敢的心二	F->DL->Music->Filter
我要听陈奕迅的容祖儿	F->DL->Music->Filter
给我唱一首空空如也	F->DL->Music->Filter
播放楞严经	F->DL->Music->Filter
我想听新年歌	F->DL->Music->Filter
我要看赵薇《离别的车站》	F->DL->Music->Filter
他爱的城堡	O
打开蓝牙	O
播放老歌	F->DL->Music->Filter
李谷一的歌心中的玫瑰	F->DL->Music->Filter
歌剧爱音乐	F->DL->Music->Filter
播放味道的歌曲	F->DL->Music->Filter
请播放英文歌的歌	F->DL->Music->Filter
哪个盯舞曲	O
播多少	O
我想听龚玥的歌曲	F->DL->Music->Filter
宝宝音乐	F->DL->Music->Filter
播放黄家驹的真的爱你	F->DL->Music->Filter
我要听没有你陪伴我真的好孤单	F->DL->Music->Filter
歌曲少年壮志不言愁	F->DL->Music->Filter
我要死就一定要死在你手里	F->DL->Music->Filter
放杰唱的歌	O
瞒骗我要嫁给你	O
帮我播放站台	F->DL->Music->Filter
听昨夜星辰歌	F->DL->Music->Filter
万梓良的歌	F->DL->Music->Filter
播放郑源演唱的包容	F->DL->Music->Filter
播放少年英雄	F->DL->Music->Filter
大壮的歌曲	F->DL->Music->Filter
歌曲思念	F->DL->Music->Filter
歌曲我曾用心爱你	O
韩红的音乐有哪些	F->DL->Music->Filter
我不想听那个歌	O
我要听邓紫棋	F->DL->Music->Filter
雪之梦歌曲	F->DL->Music->Filter
我要做粤语	O
我想听宋威龙的歌	O
我想听男生的歌	F->DL->Music->Filter
想听你不来我不老	F->DL->Music->Filter
推荐歌曲	F->DL->Music->Filter
音乐三世因果	F->DL->Music->Filter
沉默的歌	F->DL->Music->Filter
播放谢谢遇见你	F->DL->Music->Filter
我要听痴心换情深	F->DL->Music->Filter
我这里来	O
郑智化的歌	F->DL->Music->Filter
我要听金志文好久不见	F->DL->Music->Filter
请播放十五的月亮为谁圆	F->DL->Music->Filter
我还能好好过	O
我要听小燕子歌曲	F->DL->Music->Filter
对我来说	O
华晨宇的爸我回来了	F->DL->Music->Filter
我要听同桌的你	F->DL->Music->Filter
好想好想和你在一起	O
勇敢勇敢dj	F->DL->Music->Filter
开音乐	F->DL->Music->Filter
来一首想你的夜	F->DL->Music->Filter
颖儿的歌	F->DL->Music->Filter
我要听我的幸福就是	O
取醉赤壁	F->DL->Music->Filter
我要听流星歌曲	F->DL->Music->Filter
我要听音乐恭喜发财2016恭喜发财	F->DL->Music->Filter
我要听夜空中最亮的星	F->DL->Music->Filter
我想听高安的花桥流水	F->DL->Music->Filter
我想看王小利的歌	F->DL->Music->Filter
播放歌曲123我爱你	O
我要听向天再借五百年	F->DL->Music->Filter
歌曲我的好兄弟	F->DL->Music->Filter
邓丽君星夜的离别	F->DL->Music->Filter
不要忘记哟	O
加拿大播放	O
播放音乐碎心石	F->DL->Music->Filter
我想听歌曲军中绿花	F->DL->Music->Filter
我要听谢安琪的妈妈	F->DL->Music->Filter
歌曲亲爱的你在想我吗	F->DL->Music->Filter
我想亲亲	O
大海航行靠舵手歌曲	F->DL->Music->Filter
失恋了听什么歌	O
他说的是什么普通朋友都不是	O
